49;48152
24;6289
20;16838
8;1706
14;2678
33;7493
29;6011
32;9203
16;3168
14;1753
35;4883
21;2949
45;9474
40;12487
1;248
23;5518
44;12744
46;13778
20;5715
27;4139
24;6136
38;5475
10;2091
15;3323
46;13072
23;10092
24;3164
13;1676
45;6741
35;6510
6;1090
25;6716
3;567
41;10018
6;1229
12;2038
34;8066
40;10160
43;11136
48;14810
7;1659
48;10453
35;7614
23;3799
28;3796
25;3617
3;383
10;1274
24;3320
22;4069
1;129
9;1147
18;4057
2;509
43;8360
11;1406
14;1896
5;612
12;2575
40;7356
10;1936
16;3271
37;10172
31;9567
9;1994
10;2212
19;4556
4;942
35;8576
39;12285
39;10029
5;973
3;566
21;4497
21;4337
25;8269
3;648
37;9279
36;9196
21;5178
21;7003
14;3710
39;7780
24;4308
34;8804
46;10412
8;1379
2;1189
48;13700
45;15212
47;13476
29;7351
28;9190
3;664
38;9839
40;12455
12;2552
5;1026
15;3441
19;5272
